"gene","Mean_Profile"
"PF3D7_1401000",29.3201707320992
"PF3D7_1401050",50.0998950389374
"PF3D7_1401100",32.0127318761597
"PF3D7_1401200",35.8129166579585
"PF3D7_1401300",50.7959518810873
"PF3D7_1401400",35.4267572204578
"PF3D7_1401500",61.5575141332537
"PF3D7_1401600",49.3368588218529
"PF3D7_1401700",121.178242325506
"PF3D7_1401800",56.6966134331982
"PF3D7_1401900",56.9551490830301
"PF3D7_1402000",46.319704076555
"PF3D7_1402100",84.0998088415391
"PF3D7_1402200",104.921502695569
"PF3D7_1402300",106.09265254746
"PF3D7_1402400",91.4898186165568
"PF3D7_1402500",45.8006390431719
"PF3D7_1402550",70.6126368869058
"PF3D7_1402600",76.1390704552982
"PF3D7_1402700",71.5926369392364
"PF3D7_1402800",123.562457199305
"PF3D7_1402900",161.841370394463
"PF3D7_1403000",149.988024055938
"PF3D7_1403100",146.441728051615
"PF3D7_1403200",64.6986959149756
"PF3D7_1403300",83.5802337338248
"PF3D7_1403400",56.3807705814697
"PF3D7_1403500",57.0433519131801
"PF3D7_1403600",41.263925616263
"PF3D7_1403700",85.5689194239593
"PF3D7_1403800",92.5495805098483
"PF3D7_1403900",56.5599925719511
"PF3D7_1404000",63.3113601707813
"PF3D7_1404100",44.6500257595902
"PF3D7_1404200",42.6085892046293
"PF3D7_1404300",48.9916456563405
"PF3D7_1404400",30.5231736834127
"PF3D7_1404500",60.8390811500619
"PF3D7_1404600",38.4741574271735
"PF3D7_1404700",36.9475623818623
"PF3D7_1404800",49.077259840127
"PF3D7_1404900",36.7195032349943
"PF3D7_1405000",64.2308246410873
"PF3D7_1405100",85.0175735801952
"PF3D7_1405200",65.3691089078489
"PF3D7_1405300",113.841266772043
"PF3D7_1405400",123.995697579116
"PF3D7_1405500",124.325856738093
"PF3D7_1405600",128.214385027396
"PF3D7_1405700",125.39417792628
"PF3D7_1405800",118.353626032983
"PF3D7_1405900",124.042749570842
"PF3D7_1406000",112.890659418158
"PF3D7_1406100",121.661978629309
"PF3D7_1406200",109.345661291745
"PF3D7_1406300",89.4351175952586
"PF3D7_1406400",152.474117960134
"PF3D7_1406500",123.58941572353
"PF3D7_1406600",88.9391605510701
"PF3D7_1406700",61.443406395891
"PF3D7_1406800",48.3476284708665
"PF3D7_1406900",26.583136658329
"PF3D7_1407000",32.3380878191203
"PF3D7_1407100",20.8944272114282
"PF3D7_1407200",26.3556219816036
"PF3D7_1407300",40.2620779372785
"PF3D7_1407400",40.1824743421889
"PF3D7_1407500",78.1648898102225
"PF3D7_1407600",88.0331177145698
"PF3D7_1407700",37.2833797814637
"PF3D7_1407800",23.5782267580214
"PF3D7_1407900",21.1107001832079
"PF3D7_1408000",27.7162962923012
"PF3D7_1408100",39.5501883762799
"PF3D7_1408200",105.042694806281
"PF3D7_1408300",103.963208406655
"PF3D7_1408400",98.5825760910413
"PF3D7_1408500",75.5668564027261
"PF3D7_1408600",83.4077254449638
"PF3D7_1408700",107.767265838446
"PF3D7_1408800",57.4789844874
"PF3D7_1408900",75.1194325018256
"PF3D7_1409000",66.2972593327101
"PF3D7_1409100",85.1213299833972
"PF3D7_1409200",40.6915423320485
"PF3D7_1409300",55.257635508914
"PF3D7_1409400",41.9183806172833
"PF3D7_1409500",107.642975404131
"PF3D7_1409600",108.620806111904
"PF3D7_1409700",89.4970001534656
"PF3D7_1409800",82.5032834447851
"PF3D7_1409900",44.0509197450695
"PF3D7_1410000",41.6811679200775
"PF3D7_1410100",34.4208505572447
"PF3D7_1410200",56.3364922237366
"PF3D7_1410300",63.03574711539
"PF3D7_1410400",32.2531071055249
"PF3D7_1410500",27.2033280727221
"PF3D7_1410600",28.9781457545622
"PF3D7_1410700",34.1426169414098
"PF3D7_1410800",36.1406160860235
"PF3D7_1410900",48.8816698328879
"PF3D7_1411000",68.4865625743812
"PF3D7_1411100",63.2510009734993
"PF3D7_1411200",70.6003272797517
"PF3D7_1411300",82.6126349960241
"PF3D7_1411400",110.835537223572
"PF3D7_1411500",79.1015285334627
"PF3D7_1411600",151.482788263158
"PF3D7_1411700",175.405660866351
"PF3D7_1411800",151.025251490852
"PF3D7_1411900",101.760809311212
"PF3D7_1412000",86.3689071726266
"PF3D7_1412100",145.575792073477
"PF3D7_1412200",122.444147269352
"PF3D7_1412300",76.9896100691007
"PF3D7_1412400",78.1356809071011
"PF3D7_1412500",51.5172949473464
"PF3D7_1412600",65.1521368741709
"PF3D7_1412700",92.3101371070641
"PF3D7_1412800",74.8095679724357
"PF3D7_1412900",74.169390076931
"PF3D7_1413000",146.925949425017
"PF3D7_1413100",149.377724176073
"PF3D7_1413200",120.755090151789
"PF3D7_1413300",43.8852442000183
"PF3D7_1413400",110.567949893614
"PF3D7_1413500",83.319229695905
"PF3D7_1413600",152.33711251967
"PF3D7_1413700",115.358310097223
"PF3D7_1413800",81.2813472539299
"PF3D7_1413900",71.5866826027076
"PF3D7_1414000",60.3521581554979
"PF3D7_1414100",118.923036240655
"PF3D7_1414200",85.7392360707787
"PF3D7_1414300",47.1571563521261
"PF3D7_1414400",88.6043661872085
"PF3D7_1414500",101.378404567979
"PF3D7_1414600",118.062367660791
"PF3D7_1414700",141.633784521259
"PF3D7_1414800",64.4366627611485
"PF3D7_1414900",84.5763288966791
"PF3D7_1415000",53.365618782579
"PF3D7_1415100",49.7000572073945
"PF3D7_1415200",30.8670777483342
"PF3D7_1415300",41.8715762593473
"PF3D7_1415400",75.8901216366701
"PF3D7_1415500",66.9771046205601
"PF3D7_1415600",65.5304708337025
"PF3D7_1415700",47.0741756415623
"PF3D7_1415800",58.9017458990321
"PF3D7_1415900",55.3276710394963
"PF3D7_1416000",62.2445270039086
"PF3D7_1416100",71.305662952942
"PF3D7_1416200",79.5996043784168
"PF3D7_1416300",56.7300915971859
"PF3D7_1416400",44.1470813044561
"PF3D7_1416500",78.0341269989188
"PF3D7_1416600",67.020586080052
"PF3D7_1416700",26.0461810808877
"PF3D7_1416800",59.3204261881983
"PF3D7_1416900",44.1783538912574
"PF3D7_1417000",65.8051675683227
"PF3D7_1417100",50.7871323352426
"PF3D7_1417200",132.556432712513
"PF3D7_1417300",85.6364886734496
"PF3D7_1417400",108.053653471748
"PF3D7_1417500",107.302012273218
"PF3D7_1417600",96.7449682931331
"PF3D7_1417700",25.4151609798578
"PF3D7_1417800",31.1371806283743
"PF3D7_1417900",24.4632935178067
"PF3D7_1418000",37.766058173162
"PF3D7_1418100",66.7755392711444
"PF3D7_1418200",39.2458053252184
"PF3D7_1418300",54.4132773846014
"PF3D7_1418400",50.267636669441
"PF3D7_1418500",58.8460393066758
"PF3D7_1418600",61.2615571582655
"PF3D7_1418700",56.3598070899914
"PF3D7_1418800",85.6127402685162
"PF3D7_1418900",70.1491932762622
"PF3D7_1419000",72.3103640126047
"PF3D7_1419100",149.325763627236
"PF3D7_1419200",106.134477541581
"PF3D7_1419300",76.7647389211133
"PF3D7_1419400",87.7463697787959
"PF3D7_1419500",36.6055681323817
"PF3D7_1419600",36.690873923438
"PF3D7_1419700",56.4404320264215
"PF3D7_1419800",95.8327911423232
"PF3D7_1419900",91.1722369499097
"PF3D7_1420000",78.8908781057349
"PF3D7_1420100",87.9339719322834
"PF3D7_1420200",76.0655754510349
"PF3D7_1420300",84.3275201287686
"PF3D7_1420400",133.357086549759
"PF3D7_1420500",129.606449612556
"PF3D7_1420600",64.51522507288
"PF3D7_1420700",38.0765254557055
"PF3D7_1420800",44.6869135131463
"PF3D7_1420900",43.5212126466595
"PF3D7_1421000",47.157943813172
"PF3D7_1421100",135.305513522894
"PF3D7_1421150",178.714541895561
"PF3D7_1421200",104.655958430035
"PF3D7_1421300",141.914870030627
"PF3D7_1421400",85.4918712299501
"PF3D7_1421500",81.5748613559848
"PF3D7_1421600",124.782202515623
"PF3D7_1421700",120.605558940376
"PF3D7_1421800",131.012487578025
"PF3D7_1421900",95.9373951183705
"PF3D7_1422000",76.7815032669106
"PF3D7_1422100",124.446110574402
"PF3D7_1422200",101.619128508954
"PF3D7_1422300",63.6545545222302
"PF3D7_1422400",62.8132811809541
"PF3D7_1422500",50.9639188272153
"PF3D7_1422600",52.0424108579303
"PF3D7_1422700",71.4907720878422
"PF3D7_1422800",94.9062792048717
"PF3D7_1422900",113.861751958002
"PF3D7_1423000",88.5496744278626
"PF3D7_1423100",39.4906099380285
"PF3D7_1423200",44.4664322228497
"PF3D7_1423300",93.2516576831005
"PF3D7_1423400",209.197636926278
"PF3D7_1423500",182.994323550312
